Geneid	Length	670-105-B	670-105-F	670-1190-B	670-1190-F	670-34-B	670-34-F	716-23-B	716-23-F	716-4-B	716-4-F	716-6-B	716-6-F
sapp44709	1845	283	127	576	261	398	204	334	285	331	156	377	146
sapp44713	3784	498	924	574	1534	446	2522	520	1905	446	989	628	627
sapp44700	87	0	0	0	0	0	0	0	0	0	0	0	0
sapp44700	383	11	9	15	16	6	3	27	9	34	12	24	11
sapp44700	49	0	0	0	0	0	0	0	0	0	0	0	0
sapp44700	803	58	17	92	59	78	31	78	44	86	65	96	44
sapp44700	358	5	1	4	6	3	1	4	4	6	8	5	3
sapp44700	195	0	0	0	0	0	0	0	0	0	0	0	0
sapp44702	1504	2	0	4	0	0	2	6	5	5	2	5	1
sapp44714	2131	87	25	177	36	137	59	110	78	132	51	118	44
sapp44718	3372	11	2	27	11	24	10	9	13	5	0	12	13
sapp44721	618	43	4152	230	1635	358	2072	404	2244	720	1853	128	4481
sapp44717	786	0	0	0	0	0	0	0	1	0	3	2	0
sapp44722	7154	659	547	1233	814	1016	623	814	582	963	418	799	558
sapp44715	3899	23	82	16	26	38	97	76	199	108	154	43	165
sapp44731	539	1	0	0	0	0	1	0	0	0	0	0	1
sapp44730	2345	25	5	52	21	28	13	50	23	32	48	29	22
sapp44729	627	0	0	0	0	0	0	0	0	0	0	0	0
sapp44728	582	0	0	0	0	0	0	0	0	0	0	0	0
sapp54765	1683	0	0	75	70	64	98	48	92	99	177	91	88
sapp54640	392	0	0	0	0	0	0	0	0	0	0	0	0
sapp31218	2376	101	200	102	218	122	212	124	341	145	260	131	316
sapp31222	444	0	0	0	0	0	0	0	0	0	0	0	0
sapp31221	435	0	0	0	0	0	0	0	0	0	0	0	0
sapp31223	477	0	0	0	0	0	0	0	0	0	0	0	0
sapp31225	486	0	0	0	0	0	0	0	0	0	0	0	0
sapp31224	252	0	0	0	1	0	0	0	0	0	0	0	0
sapp31226	924	0	0	0	0	0	0	0	0	0	0	0	0
sapp31229	948	0	0	0	0	0	0	0	0	0	0	0	0
sapp31228	198	0	0	0	0	0	0	0	0	0	0	0	0
sapp31235	507	0	0	0	0	0	0	0	0	0	0	0	0
sapp31234	450	0	0	0	0	0	0	0	0	0	0	0	0
sapp31233	1707	0	0	0	0	0	0	0	0	0	0	0	0
sapp31237	288	0	0	0	0	0	0	0	0	0	0	0	0
sapp31236	348	0	0	0	0	0	0	0	0	0	0	0	0
sapp31238	315	0	0	0	0	0	0	0	0	0	0	0	0
sapp31231	228	0	0	0	0	0	0	0	0	0	0	0	0
sapp31240	2726	1091	360	1475	731	1406	836	1309	563	1102	544	1161	641
sapp31245	1670	28	2	81	2	44	3	38	1	52	3	35	2
sapp31242	774	0	0	0	0	0	0	0	0	0	0	0	0
sapp31243	1161	0	0	0	0	0	0	0	0	0	0	0	0
sapp31257	684	0	0	0	0	0	0	0	0	0	0	0	0
sapp31250	432	0	0	0	0	0	0	0	0	0	0	0	0
sapp31247	822	0	0	0	0	0	0	0	0	0	0	0	0
sapp31254	798	0	0	0	0	0	0	0	0	0	0	0	0
sapp31255	798	0	0	0	0	0	0	0	0	0	0	0	0
sapp31256	798	0	0	0	0	0	0	0	0	0	0	0	0
sapp31249	633	0	0	0	0	0	0	0	0	0	0	0	0
sapp31253	342	0	0	0	0	0	0	0	0	0	0	0	0
sapp31248	378	0	0	0	0	0	0	0	0	0	0	0	0
sapp51669	762	24	2	26	6	15	1	15	2	19	4	29	0
sapp51661	2136	54	13	91	20	58	17	49	21	85	14	62	22
sapp51651	1372	185	101	337	310	260	213	311	192	318	298	365	200
sapp51662	1650	131	48	306	81	204	70	175	79	191	60	203	69
sapp51658	2127	892	462	842	732	979	686	884	516	784	615	918	545
sapp51668	489	10	0	9	0	12	0	3	0	1	0	1	0
sapp51656	396	2361	401	914	698	1066	569	730	223	652	440	2013	483
sapp51664	1555	283	314	435	491	363	386	351	466	348	322	266	397
