Description	ID	lycopersicum	appendiculatum	inflata	tuberosum	sinuosa	axillaris	attenuata
OG0000363	OG0000363	5	10	3	1	1	3	13
OG0000364	OG0000364	6	4	4	5	4	8	5
OG0000365	OG0000365	0	1	0	34	1	0	0
OG0000366	OG0000366	4	3	6	5	0	7	11
OG0000367	OG0000367	8	1	2	21	0	1	3
OG0000368	OG0000368	4	4	7	4	4	6	6
OG0000369	OG0000369	2	8	1	2	7	0	15
OG0000370	OG0000370	2	1	10	1	2	11	8
OG0000371	OG0000371	4	5	6	4	5	5	6
OG0000372	OG0000372	5	2	4	14	2	3	5
OG0000373	OG0000373	4	4	9	5	3	4	6
OG0000374	OG0000374	3	1	9	1	6	10	5
OG0000375	OG0000375	1	9	2	4	4	9	6
OG0000376	OG0000376	3	3	6	3	3	6	11
OG0000377	OG0000377	2	3	7	4	1	10	8
OG0000378	OG0000378	11	4	2	9	2	1	6
OG0000379	OG0000379	7	7	5	7	0	4	5
OG0000380	OG0000380	4	17	0	10	0	0	4
OG0000381	OG0000381	0	3	2	7	12	5	5
OG0000382	OG0000382	8	5	6	6	3	3	3
OG0000383	OG0000383	6	7	4	6	4	4	3
OG0000384	OG0000384	0	6	13	0	3	12	0
OG0000385	OG0000385	2	8	4	7	8	3	2
OG0000386	OG0000386	4	2	0	1	14	2	11
OG0000387	OG0000387	8	4	2	9	4	2	5
OG0000388	OG0000388	5	1	10	2	2	11	3
OG0000389	OG0000389	3	2	6	7	5	7	4
OG0000390	OG0000390	3	3	14	2	1	7	4
OG0000391	OG0000391	3	21	0	3	0	2	5
OG0000392	OG0000392	9	2	5	5	0	4	9
OG0000393	OG0000393	4	5	4	4	5	6	5
OG0000394	OG0000394	7	3	4	4	4	4	7
OG0000395	OG0000395	4	5	7	3	7	5	2
OG0000396	OG0000396	5	5	5	4	5	5	4
OG0000397	OG0000397	10	4	6	6	3	3	1
OG0000398	OG0000398	6	9	1	6	9	1	1
OG0000399	OG0000399	6	3	7	3	2	8	4
OG0000400	OG0000400	3	6	6	5	5	4	4
OG0000401	OG0000401	3	15	0	4	3	0	8
OG0000402	OG0000402	5	4	6	4	4	5	5
OG0000403	OG0000403	10	6	2	3	8	2	2
OG0000404	OG0000404	6	5	4	7	7	2	2
OG0000405	OG0000405	3	8	4	9	2	4	3
OG0000406	OG0000406	3	10	5	5	2	4	4
OG0000407	OG0000407	7	0	5	11	2	2	6
OG0000408	OG0000408	0	1	0	1	1	0	30
OG0000409	OG0000409	5	6	4	6	3	3	6
OG0000410	OG0000410	4	3	8	6	4	6	2
OG0000411	OG0000411	0	0	0	8	0	1	24
OG0000412	OG0000412	3	0	0	18	0	0	12
OG0000413	OG0000413	4	1	8	6	9	3	1
OG0000414	OG0000414	0	3	1	0	9	0	19
OG0000415	OG0000415	12	8	2	2	4	1	3
OG0000416	OG0000416	4	4	6	4	4	5	5
OG0000417	OG0000417	4	4	5	5	5	5	4
OG0000418	OG0000418	3	4	9	3	3	7	3
OG0000419	OG0000419	0	0	13	0	3	16	0
OG0000420	OG0000420	25	0	1	4	1	1	0
OG0000421	OG0000421	3	1	14	1	2	9	2
OG0000422	OG0000422	1	16	0	1	3	0	11
OG0000423	OG0000423	2	11	0	3	5	0	11
OG0000424	OG0000424	5	9	6	4	2	3	3
